t,type,direction,price,mid,pnl,is_win
378,noise,sell,100.58649879692689,100.81649879692688,0.22999999999998977,True
379,noise,sell,100.79547909024865,101.03547909024864,0.23999999999999488,True
380,noise,sell,100.70464926171313,100.95464926171313,0.25,True
381,noise,sell,100.61067707749505,100.87067707749505,0.2599999999999909,True
382,noise,sell,100.54073781295065,100.81073781295065,0.269999999999996,True
383,noise,sell,100.31834824051967,100.59834824051967,0.28000000000000114,True
384,noise,buy,100.45577273835158,100.54577273835159,-0.09000000000000341,False
385,noise,buy,100.3898594721962,100.46985947219622,-0.0800000000000125,False
387,noise,buy,100.44907444842154,100.51907444842155,-0.07000000000000739,False
388,noise,sell,100.44669153234315,100.70669153234314,0.2599999999999909,True
389,noise,sell,100.53173391616176,100.80173391616175,0.269999999999996,True
391,noise,sell,100.37420208346067,100.65420208346067,0.28000000000000114,True
393,noise,sell,100.28137067990927,100.57137067990926,0.28999999999999204,True
395,noise,buy,100.77246056856683,100.87246056856684,-0.10000000000000853,False
397,noise,sell,100.36422955044729,100.65422955044728,0.28999999999999204,True
398,noise,sell,100.48961678786382,100.78961678786382,0.29999999999999716,True
399,noise,buy,100.66816280333856,100.77816280333856,-0.10999999999999943,False
400,noise,sell,100.60194443453591,100.9019444345359,0.29999999999999716,True
401,noise,buy,100.63250166865647,100.74250166865647,-0.10999999999999943,False
402,informed,buy,100.58256416636108,100.68256416636109,-0.10000000000000853,False
404,noise,sell,100.39778659570939,100.68778659570938,0.28999999999999204,True
405,noise,buy,100.54278004856145,100.64278004856146,-0.10000000000000853,False
406,noise,sell,100.41506504179623,100.70506504179622,0.28999999999999204,True
407,noise,buy,100.49830299885795,100.59830299885796,-0.10000000000000853,False
408,noise,buy,100.49406505035583,100.58406505035583,-0.09000000000000341,False
409,noise,sell,100.31609461352703,100.59609461352703,0.28000000000000114,True
410,noise,sell,100.35753849693292,100.64753849693291,0.28999999999999204,True
411,noise,buy,100.6186999847418,100.7186999847418,-0.10000000000000853,False
412,noise,buy,100.51623577555802,100.60623577555802,-0.09000000000000341,False
